timestamp_ms,ax,ay,az,gx,gy,gz,label
0,-0.0172,-0.0096,1.0665,-0.738,-2.167,0.454,upright
20,0.0057,0.0207,0.989,2.236,0.935,3.882,upright
40,0.0198,0.0084,1.0436,1.362,-1.133,1.26,upright
60,-0.0167,0.0379,0.9831,0.582,-1.157,0.543,upright
80,0.0468,0.0358,0.9812,-2.008,1.111,-1.012,upright
100,-0.0179,0.0216,0.9632,1.259,1.674,0.069,upright
120,-0.021,-0.006,1.0464,0.321,1.93,0.115,upright
140,0.0114,0.0065,1.0047,0.502,1.331,1.851,upright
160,0.0039,-0.0282,0.9804,-1.393,-3.064,0.03,upright
180,-0.0141,0.0562,0.9835,-2.121,0.628,0.023,upright
200,0.0367,0.0055,1.0578,-1.018,0.399,-0.641,upright
220,-0.0038,-0.0498,1.0193,-2.477,0.599,0.727,upright
240,0.0243,-0.0474,1.0255,-1.02,0.632,-0.526,upright
260,0.0722,-0.0166,0.9941,0.478,-2.187,-0.689,upright
280,0.0068,0.0083,0.99,2.753,2.973,1.903,upright
300,0.0136,0.0203,1.0643,2.737,1.069,-0.766,upright
320,0.0504,0.0247,1.0036,-0.152,-1.983,-2.194,upright
340,-0.0226,0.01,1.0074,-1.044,-0.321,2.181,upright
360,-0.0195,-0.012,0.9643,3.043,-0.537,2.196,upright
380,0.0402,-0.0187,1.0199,0.354,0.777,0.344,upright
400,0.0368,0.0189,0.9776,1.191,-1.146,-1.941,upright
420,0.0064,-0.0264,0.9803,-1.618,1.311,1.354,upright
440,-0.0009,0.0409,0.9979,-1.108,-1.517,0.655,upright
460,0.0157,0.0083,1.0897,1.446,-0.102,-1.609,upright
480,0.0068,-0.0206,0.9819,-3.568,0.244,-1.66,upright
500,0.0864,-0.007,1.0289,0.553,-1.147,0.356,upright
520,0.0068,-0.0112,0.9989,-2.962,2.132,0.869,upright
540,0.0152,0.0426,0.9703,-3.835,0.406,-1.303,upright
560,0.0176,-0.0168,0.9929,-1.518,-0.105,1.102,upright
580,0.0309,0.0524,1.018,0.619,0.312,0.823,upright
600,0.0149,-0.0396,0.9671,-2.77,-0.395,0.132,upright
620,0.0335,0.0336,0.9855,-3.28,-1.073,-0.076,upright
640,-0.0386,-0.0385,0.9654,3.008,1.619,-1.118,upright
660,0.0043,0.0019,1.0067,0.277,-1.812,-1.526,upright
680,0.0605,-0.0017,1.0304,-0.059,0.35,0.392,upright
700,0.0109,0.0358,1.0251,-0.109,0.223,2.394,upright
720,-0.0098,0.0247,1.0341,2.393,2.2,-1.221,upright
740,0.044,-0.0106,1.0251,0.259,1.353,-1.011,upright
760,0.0242,0.0163,1.0166,1.384,2.78,-1.4,upright
780,0.021,-0.0503,1.0189,2.423,0.298,1.808,upright
800,0.0801,0.0132,1.0278,1.452,-1.13,-1.836,upright
820,0.0059,-0.0262,1.0186,-3.418,-3.104,-2.81,upright
840,0.0232,-0.0082,0.9938,-0.579,-0.765,-1.226,upright
860,0.0223,-0.0072,1.0084,-0.148,0.101,0.038,upright
880,0.078,0.0622,1.0341,-2.877,0.891,2.108,upright
900,0.0291,-0.0464,0.9902,3.958,-0.31,-2.257,upright
920,0.0084,0.0295,1.0018,-1.806,-3.359,0.255,upright
940,-0.0379,0.0284,1.0353,0.534,-0.051,-0.214,upright
960,0.0054,-0.0232,0.9705,-1.488,2.356,2.721,upright
980,0.0135,0.0162,0.9898,0.192,2.043,1.509,upright
1000,0.0426,0.0215,1.0248,-1.087,1.113,-2.597,upright
1020,0.0173,0.0103,1.0128,-2.94,1.431,-1.894,upright
1040,-0.0651,-0.0047,0.9968,-2.54,0.427,-0.265,upright
1060,0.0072,-0.0397,1.023,0.092,-0.39,-1.799,upright
1080,-0.0143,-0.0094,0.9437,-1.258,1.887,-0.239,upright
1100,0.0061,-0.0127,1.0244,1.483,0.35,-0.671,upright
1120,0.0279,0.0282,0.9944,0.777,0.857,1.324,upright
1140,0.0106,-0.0177,1.0041,-0.555,-0.011,2.229,upright
1160,0.0312,0.0012,1.0123,0.896,0.669,-0.577,upright
1180,-0.0085,-0.0647,1.0015,2.987,-1.107,2.333,upright
1200,-0.0215,-0.0136,1.0349,-1.518,-0.825,1.776,upright
1220,-0.005,0.0237,1.0756,-1.543,1.828,2.798,upright
1240,-0.0002,-0.0044,1.025,1.009,2.319,-1.982,upright
1260,-0.0003,0.0326,1.0184,-0.465,1.229,0.949,upright
1280,-0.0269,-0.0552,1.0033,-0.16,0.355,0.702,upright
1300,-0.0274,-0.0173,1.0366,-0.971,-1.717,-1.51,upright
1320,0.0147,0.0611,1.0359,-2.136,0.187,-0.904,upright
1340,0.0229,0.0094,0.9959,-0.983,2.012,-2.172,upright
1360,-0.0165,-0.0326,1.032,2.214,0.82,1.553,upright
1380,-0.0038,-0.0426,1.0054,3.071,-0.672,1.415,upright
1400,-0.0502,0.0176,1.0415,0.517,-2.687,0.208,upright
1420,-0.0339,0.0292,1.0102,-0.105,0.441,-1.627,upright
1440,-0.0163,0.0229,1.0117,2.828,1.127,3.67,upright
1460,-0.0342,-0.0026,1.0082,-1.936,0.626,-0.556,upright
1480,-0.0131,-0.0067,1.0126,1.419,-0.473,1.128,upright
1500,-0.0565,-0.021,0.9691,0.901,0.214,-1.053,upright
1520,-0.0057,-0.0001,0.9614,2.031,0.125,1.339,upright
1540,0.0257,0.0713,1.0088,-0.434,-0.836,-0.207,upright
1560,0.0073,0.0024,0.9892,-1.759,-0.46,1.921,upright
1580,0.0094,0.0136,1.0456,1.618,-1.761,1.599,upright
1600,-0.031,0.0267,0.9793,-0.529,-2.468,-0.755,upright
1620,0.0021,0.009,1.0345,0.222,1.401,1.161,upright
1640,0.0031,0.0311,0.99,2.444,1.518,-3.481,upright
1660,-0.0782,0.0144,1.0175,-1.036,3.75,-0.468,upright
1680,0.0101,0.0418,0.9841,-1.918,-0.294,-1.175,upright
1700,0.0063,-0.0414,1.0317,3.562,-0.053,-0.505,upright
1720,-0.0004,0.0037,0.9748,-2.045,2.824,-1.302,upright
1740,-0.0131,0.0189,1.0257,0.758,-1.301,0.679,upright
1760,-0.0012,-0.0373,1.0198,-2.818,0.172,-1.793,upright
1780,-0.0506,0.0201,0.9568,0.555,1.348,-1.804,upright
1800,-0.0206,0.0387,0.9852,0.211,1.294,1.011,upright
1820,0.0238,-0.017,1.0628,1.15,-0.322,-2.015,upright
1840,0.006,0.001,0.9827,1.49,1.516,1.474,upright
1860,-0.0527,-0.0277,0.9617,0.068,2.129,1.833,upright
1880,0.0196,-0.0432,1.0024,-1.111,-0.132,0.467,upright
1900,-0.0069,-0.058,1.0375,-0.789,0.879,-2.763,upright
1920,-0.0117,0.0078,1.0568,-2.79,-0.44,-2.038,upright
1940,-0.0669,0.0361,0.9978,0.489,0.176,-0.503,upright
1960,-0.0289,-0.0425,1.0247,1.026,-0.38,2.695,upright
1980,-0.0149,-0.0264,1.0156,1.132,-1.901,0.758,upright
2000,0.0058,-0.0085,1.0252,1.687,-2.2,1.114,upright
2020,-0.0387,-0.0322,1.008,-0.907,0.195,-0.932,upright
2040,-0.0564,0.0049,0.9859,-0.198,-1.177,0.309,upright
2060,-0.0234,0.0309,0.9825,0.527,-1.366,-3.191,upright
2080,0.0002,-0.0061,1.0035,1.523,-1.91,-1.291,upright
2100,-0.0468,-0.0186,1.0765,-0.032,0.379,-1.078,upright
2120,-0.0158,-0.0081,1.0441,-0.751,1.405,-0.712,upright
2140,-0.0216,-0.0221,1.0168,-0.425,1.214,0.068,upright
2160,-0.0345,-0.032,1.016,-2.13,0.682,-3.519,upright
2180,-0.0018,0.0057,0.9962,0.78,-2.267,-0.765,upright
2200,0.0005,0.0319,1.0001,0.278,-0.11,1.173,upright
2220,-0.0435,-0.0731,1.0317,0.716,-2.056,0.469,upright
2240,0.0321,0.0603,0.9937,1.947,-1.616,1.051,upright
2260,0.0186,-0.0284,0.9599,3.113,1.705,3.389,upright
2280,-0.0214,-0.0199,1.0599,-0.265,-2.725,-0.146,upright
2300,0.0098,0.0134,0.9286,0.483,-3.182,3.411,upright
2320,-0.0511,-0.023,1.0032,-0.783,1.756,-0.982,upright
2340,0.004,0.0119,1.0117,-1.835,2.672,-1.311,upright
2360,-0.0373,-0.0095,1.0062,-4.129,-0.633,1.702,upright
2380,0.0001,0.0061,1.0269,0.545,-2.215,-2.015,upright
2400,-0.0055,-0.0773,0.9981,2.941,-0.626,1.313,upright
2420,-0.1018,-0.0272,0.9898,0.115,-1.296,1.446,upright
2440,-0.0107,-0.0158,0.9961,0.884,-1.495,-0.121,upright
2460,-0.0177,0.0325,1.0009,-2.075,-0.156,-1.517,upright
2480,0.0117,-0.0067,1.0122,0.296,-1.319,0.162,upright
2500,0.0005,0.0035,1.0024,-0.505,-2.646,-2.865,upright
2520,-0.0002,0.04,1.024,-1.074,0.349,-0.193,upright
2540,-0.0454,-0.0228,0.9436,0.111,2.842,-0.335,upright
2560,-0.0432,0.0062,1.0289,-1.517,0.976,0.293,upright
2580,-0.0081,-0.0095,1.0434,3.372,-4.496,-0.055,upright
