timestamp_ms,ax,ay,az,gx,gy,gz,label
0,0.0328,-0.0043,0.9905,-2.398,0.132,0.59,upright
20,-0.0112,-0.0092,0.9535,2.124,0.524,-0.543,upright
40,0.0205,0.0105,1.0032,-0.296,0.111,0.706,upright
60,0.0284,0.0263,1.0125,1.407,-0.253,-2.39,upright
80,-0.0414,0.0268,0.9495,-1.236,0.01,1.44,upright
100,-0.0585,-0.035,0.9749,-1.152,-0.007,1.219,upright
120,0.0247,0.0859,1.0481,-2.08,-2.317,-0.42,upright
140,-0.003,0.0329,1.0191,1.241,-0.012,0.688,upright
160,0.0196,-0.0066,1.0179,-2.147,1.459,0.927,upright
180,0.097,-0.0023,0.9525,-0.999,-0.32,-1.204,upright
200,-0.0289,-0.0125,0.9564,1.713,-2.344,0.857,upright
220,0.0404,0.0129,1.0416,0.596,1.309,-1.348,upright
240,-0.0271,-0.0167,1.0039,1.469,-1.905,-1.024,upright
260,-0.0128,0.0234,0.9815,1.667,-0.6,-1.195,upright
280,-0.0103,-0.0535,0.9181,-0.955,-1.23,3.135,upright
300,0.0255,0.0259,1.0031,-0.353,-2.285,-2.001,upright
320,0.057,-0.0157,0.9848,1.112,-0.379,-0.409,upright
340,0.076,0.0109,0.9875,-0.64,-1.117,0.536,upright
360,0.0325,-0.018,0.9921,-2.444,-0.479,1.038,upright
380,-0.0138,-0.004,0.9778,-0.745,0.432,-1.506,upright
400,0.0508,0.0391,1.0358,-1.39,-2.911,-0.876,upright
420,0.0211,-0.0017,0.9941,0.023,-0.559,0.966,upright
440,-0.026,0.0108,1.015,-0.895,5.579,0.412,upright
460,0.0259,-0.0372,1.0075,0.319,1.686,-0.741,upright
480,0.0521,-0.0404,1.0004,-2.713,-0.024,1.127,upright
500,-0.0279,0.0207,1.0139,-2.428,-1.498,-0.818,upright
520,0.0345,0.0418,0.9795,-1.483,-0.607,-4.132,upright
540,0.0329,-0.005,0.9904,2.01,-0.454,-1.14,upright
560,0.05,-0.0141,1.0009,-0.489,-0.058,0.315,upright
580,0.0292,-0.0352,1.0392,-0.599,-0.64,1.255,upright
600,0.0059,0.0141,1.0338,1.363,-0.644,1.518,upright
620,0.0139,-0.0232,0.9754,0.49,-0.998,1.986,upright
640,0.0447,0.0176,1.0345,1.421,-1.152,3.71,upright
660,-0.024,0.0048,0.9451,-0.413,-0.654,-2.045,upright
680,0.0361,0.0033,1.0002,-1.546,2.107,-0.325,upright
700,0.0417,-0.0444,1.0428,-0.505,1.46,-0.603,upright
720,0.0179,0.0144,0.999,3.179,-0.244,-0.374,upright
740,0.052,0.0058,0.9727,-0.391,1.159,0.145,upright
760,0.0534,-0.0337,1.0099,-1.081,-0.491,-0.865,upright
780,-0.0054,0.0711,1.0057,1.215,0.609,2.958,upright
800,0.0028,-0.037,1.0198,-1.348,2.245,-1.31,upright
820,0.011,0.021,0.9683,-0.378,0.54,-2.112,upright
840,0.0154,-0.0407,0.9957,2.467,2.122,-0.247,upright
860,0.0114,-0.0212,1.0241,1.104,-2.012,-1.341,upright
880,-0.0209,0.0061,1.008,0.248,0.949,0.909,upright
900,0.0163,0.0166,0.9857,1.155,1.577,-3.135,upright
920,0.0639,-0.0019,1.0221,0.078,2.314,-0.015,upright
940,0.0268,-0.0156,1.0008,0.681,-1.414,-0.223,upright
960,-0.0026,0.003,1.0293,0.238,1.953,-0.971,upright
980,0.003,-0.0047,0.9737,0.585,-1.038,-1.114,upright
1000,0.0196,-0.0228,0.9996,-0.145,1.623,2.131,upright
1020,0.0266,-0.0203,1.0243,3.623,-0.544,-0.355,upright
1040,0.049,-0.0027,0.9891,1.696,-1.343,1.44,upright
1060,-0.0155,0.015,0.9971,-1.272,1.201,-2.176,upright
1080,0.0248,-0.006,1.0305,-1.817,1.36,3.009,upright
1100,-0.0111,-0.0003,1.028,5.418,0.353,-1.036,upright
1120,0.0132,-0.0052,0.986,-2.004,2.233,-2.4,upright
1140,-0.0009,-0.0574,0.932,0.789,-2.188,1.033,upright
1160,0.005,-0.0305,1.0203,-2.161,1.077,1.68,upright
1180,-0.0364,0.0036,1.0458,0.424,-1.956,1.478,upright
1200,0.0032,0.0061,0.9582,0.46,0.334,-1.841,upright
1220,0.0149,-0.0122,1.0218,1.068,-1.404,-2.135,upright
1240,0.038,0.0161,0.9784,1.49,0.725,0.515,upright
1260,-0.018,-0.0208,1.0353,-0.267,-0.565,0.783,upright
1280,-0.0366,-0.0059,0.9969,3.955,-2.578,-0.14,upright
1300,-0.0249,-0.0519,1.0614,2.324,-0.735,-0.519,upright
1320,-0.0117,-0.0058,0.988,0.317,1.565,0.492,upright
1340,0.0227,-0.0429,1.0479,-1.028,-1.503,-1.372,upright
1360,0.0102,-0.004,0.9627,-0.236,3.047,0.273,upright
1380,-0.0177,-0.0247,1.0095,-1.64,-0.279,-1.873,upright
1400,0.0157,-0.0274,1.043,1.364,0.238,1.94,upright
1420,0.036,-0.0196,1.052,1.208,1.639,-0.353,upright
1440,-0.0098,0.0335,0.9909,-0.092,1.233,-1.764,upright
1460,-0.0543,0.0323,1.0292,2.791,1.077,-1.318,upright
1480,0.0143,0.0213,1.0298,1.166,1.138,1.417,upright
1500,-0.0337,0.0143,0.9678,-0.921,1.205,-1.101,upright
1520,-0.0554,-0.0218,1.0192,1.597,0.745,1.589,upright
1540,-0.0782,-0.0036,1.0249,-0.3,0.878,-1.151,upright
1560,-0.0138,0.0404,0.9765,3.429,0.311,-0.222,upright
1580,0.0481,-0.0061,1.0286,1.678,-0.824,-0.315,upright
1600,-0.0163,-0.0041,0.9799,1.475,0.495,-1.451,upright
1620,-0.0237,0.0328,0.9706,-0.371,2.357,1.636,upright
1640,-0.0111,0.0186,1.0156,3.795,1.853,0.978,upright
1660,-0.0363,-0.0094,1.0039,-0.92,0.265,0.23,upright
1680,-0.0226,-0.0084,0.9672,-1.453,3.145,2.366,upright
1700,-0.0004,0.0202,1.0074,-1.124,0.417,-2.279,upright
1720,-0.0168,-0.0291,0.9947,1.67,-0.231,-0.227,upright
1740,0.0013,0.0131,1.0477,0.797,1.778,-0.31,upright
1760,-0.0347,0.0275,1.0341,-1.695,-1.992,-0.767,upright
1780,0.0164,-0.0215,1.0153,3.051,0.791,0.225,upright
1800,-0.0094,0.0277,0.9501,-1.285,-0.086,3.063,upright
1820,0.0412,-0.0019,1.0149,-1.792,-0.839,0.257,upright
1840,-0.0358,0.0142,0.9927,0.438,1.523,-0.353,upright
1860,-0.0069,0.0086,0.9886,0.196,-0.605,-1.133,upright
1880,-0.0374,-0.0211,0.9526,2.001,-3.196,0.874,upright
1900,-0.0423,-0.0445,0.9959,-1.914,-0.885,2.088,upright
